train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2011-10-25,2011-11-01,2011-11-15,0.875,0.25,0.0,0.0,9
2011-11-01,2011-11-08,2011-11-22,0.875,0.25,0.0,0.0,9
2011-11-08,2011-11-15,2011-11-29,0.4285714285714286,0.18154761904761904,0.0,0.0,9
2011-11-15,2011-11-22,2011-12-06,0.5555555555555556,0.5517857142857143,0.0,0.0,9
2011-11-22,2011-11-29,2011-12-13,0.4444444444444444,0.28234126984126984,0.0,0.0,9
2011-11-29,2011-12-06,2011-12-27,0.35,0.5717460317460317,0.0,0.0,9
2011-12-06,2011-12-13,2012-01-03,0.39999999999999997,0.5279761904761905,0.0,0.0,9
2011-12-13,2011-12-27,2012-01-10,0.4,0.35868055555555556,0.0,0.0,9
2011-12-27,2012-01-03,2012-01-17,0.5,0.2992063492063492,0.0,0.0,9
2012-01-03,2012-01-10,2012-01-24,0.25,0.31418650793650793,0.0,0.0,9
2012-01-10,2012-01-17,2012-01-31,0.4,0.5817857142857144,0.0,0.0,9
2012-01-17,2012-01-24,2012-02-07,0.5555555555555556,0.7246031746031746,0.0,0.0,9
2012-01-24,2012-01-31,2012-02-14,0.7142857142857143,0.9004251700680272,0.0,0.0,9
2012-01-31,2012-02-07,2012-02-21,0.5,0.7642857142857142,0.0,0.0,9
2012-02-07,2012-02-14,2012-02-28,0.6,0.45476190476190476,0.0,0.0,9
2012-02-14,2012-02-21,2012-03-06,0.75,0.7714285714285715,0.0,0.0,9
2012-02-21,2012-02-28,2012-03-13,0.8333333333333334,0.9409722222222222,0.0,0.0,9
2012-02-28,2012-03-06,2012-03-20,0.8333333333333334,0.9409722222222222,0.0,0.0,9
2012-03-06,2012-03-13,2012-03-27,0.8,0.9055555555555557,0.4,0.0,9
2012-03-13,2012-03-20,2012-04-03,0.8,0.8347619047619046,0.2,0.0,9
2012-03-20,2012-03-27,2012-04-10,0.8571428571428572,0.9587585034013604,0.42857142857142855,0.0,9
2012-03-27,2012-04-03,2012-04-17,1.0,1.0,0.5,0.0,9
2012-04-03,2012-04-10,2012-04-24,0.875,0.9852430555555556,0.625,0.0,9
2012-04-10,2012-04-17,2012-05-01,0.6428571428571428,0.9018140589569161,0.5714285714285714,0.0,9
2012-04-17,2012-04-24,2012-05-08,0.5,0.9262400793650793,0.625,1.0,9
2012-04-24,2012-05-01,2012-05-15,0.6,0.7984126984126985,0.6,1.0,9
2012-05-01,2012-05-08,2012-05-22,0.65,0.7285714285714286,0.5,0.6,9
2012-05-08,2012-05-15,2012-05-29,0.28571428571428575,0.14821428571428572,0.0,0.42857142857142855,9
2012-05-15,2012-05-22,2012-06-05,0.5,0.5323412698412698,0.0,0.0,9
2012-05-22,2012-05-29,2012-06-12,0.6499999999999999,0.7399305555555555,0.25,0.0,9
2012-05-29,2012-06-05,2012-06-19,0.75,0.8524305555555556,0.0,0.0,9
2012-06-05,2012-06-12,2012-06-26,0.5,0.3194444444444444,0.0,0.0,9
2012-06-12,2012-06-19,2012-07-03,0.75,0.16666666666666666,1.0,0.25,9
2012-06-19,2012-06-26,2012-07-10,,,,0.3333333333333333,9
2012-06-26,2012-07-03,2012-07-17,,,,0.1111111111111111,9
2012-07-03,2012-07-10,2012-07-24,,,,0.0,9
2012-07-10,2012-07-17,2012-07-31,,,,0.0,9
2012-07-17,2012-07-24,2012-08-07,,,,0.0,9
2012-07-24,2012-07-31,2012-08-14,,,,0.0,9
2012-07-31,2012-08-07,2012-08-21,,,,0.0,9
2012-08-07,2012-08-14,2012-08-28,,,,0.0,9
2012-08-14,2012-08-21,2012-09-04,0.75,0.16666666666666666,0.0,0.0,9
2012-08-21,2012-08-28,2012-09-11,0.875,0.25,0.0,0.0,9
2012-08-28,2012-09-04,2012-09-18,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2012-09-04,2012-09-11,2012-09-25,0.875,0.25,0.0,0.0,9
2012-09-11,2012-09-18,2012-10-02,1.0,1.0,0.0,0.0,9
2012-09-18,2012-09-25,2012-10-09,0.7857142857142857,0.3333333333333333,0.0,0.0,9
2012-09-25,2012-10-02,2012-10-16,0.5714285714285714,0.21666666666666667,0.0,0.0,9
2012-10-02,2012-10-09,2012-10-23,0.375,0.08333333333333333,0.0,0.0,9
2012-10-09,2012-10-16,2012-10-30,,,,0.0,9
2012-10-16,2012-10-23,2012-11-06,,,,0.0,9
2012-10-23,2012-10-30,2012-11-13,,,,0.0,9
2012-10-30,2012-11-06,2012-11-20,,,,0.0,9
2012-11-06,2012-11-13,2012-11-27,,,,0.0,9
2012-11-13,2012-11-20,2012-12-04,,,,0.0,9
2012-11-20,2012-11-27,2012-12-11,0.875,0.25,0.0,0.0,9
2012-11-27,2012-12-04,2013-01-01,0.888888888888889,0.7638888888888888,0.0,0.0,9
2012-12-04,2012-12-11,2013-01-08,0.6,0.6005952380952381,0.0,0.0,9
2012-12-11,2013-01-01,2013-01-15,0.4,0.45345238095238094,0.0,0.0,9
2013-01-01,2013-01-08,2013-01-22,0.45,0.4060019841269841,0.5,0.6,9
2013-01-08,2013-01-15,2013-01-29,0.38888888888888884,0.5059523809523809,0.0,0.0,9
